,Brand,Model,Price,Color,RAM (GB),ROM (GB),Rating,Battery (mAh),Display (inch),Camera,Processor
0,realme,11x,15999,5G Purple Dawn,8,128.0,4.3,5000.0,2,64MP + 2MP | 8MP Front,Dimensity 6100+
1,realme,11x,14999,5G Purple Dawn,6,128.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Dimensity 6100+
2,realme,11x,14999,5G Midnight Black,6,128.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Dimensity 6100+
3,realme,C53,10999,Champion Gold,6,64.0,4.4,5000.0,4,108MP + 2MP | 8MP Front,T612
4,realme,11x,15999,5G Midnight Black,8,128.0,4.3,5000.0,2,64MP + 2MP | 8MP Front,Dimensity 6100+
5,realme,C53,10999,Champion Black,6,64.0,4.4,5000.0,4,108MP + 2MP | 8MP Front,T612
6,realme,C51,8999,Mint Green,4,64.0,4.6,5000.0,4,50MP + 0.08MP | 5MP Front,T612
7,realme,C51,8999,Carbon Black,4,64.0,4.6,5000.0,4,50MP + 0.08MP | 5MP Front,T612
8,realme,C53,9999,Champion Black,4,128.0,4.1,5000.0,4,108MP + 2MP | 8MP Front,T612
9,realme,C53,9999,Champion Gold,4,128.0,4.1,5000.0,4,108MP + 2MP | 8MP Front,T612
10,realme,C55,13999,Rainforest,8,128.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
11,realme,C55,13999,Rainy Night,8,128.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
12,realme,C55,11999,Rainforest,6,64.0,4.3,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
13,realme,C55,10999,Sunshower,4,64.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
14,realme,C55,10999,Rainforest,4,64.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
15,realme,C55,10999,Rainy Night,4,64.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
16,realme,C55,13999,Sunshower,8,128.0,4.4,5000.0,2,64MP + 2MP | 8MP Front,Helio G88
