,Product Name,Price,Rating,Features
0,"realme 11x 5G (Purple Dawn, 128 GB)","₹15,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
1,"realme 11x 5G (Purple Dawn, 128 GB)","₹14,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
2,"realme 11x 5G (Midnight Black, 128 GB)","₹14,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
3,"realme C53 (Champion Gold, 64 GB)","₹10,999",4.4,"6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
108MP + 2MP | 8MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
4,"realme 11x 5G (Midnight Black, 128 GB)","₹15,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6100+ Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
5,"realme C53 (Champion Black, 64 GB)","₹10,999",4.4,"6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
108MP + 2MP | 8MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
6,"realme C51 (Mint Green, 64 GB)","₹8,999",4.6,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
50MP + 0.08MP | 5MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
7,"realme C51 (Carbon Black, 64 GB)","₹8,999",4.6,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
50MP + 0.08MP | 5MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
8,"realme C53 (Champion Black, 128 GB)","₹9,999",4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
108MP + 2MP | 8MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
9,"realme C53 (Champion Gold, 128 GB)","₹9,999",4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.12 cm (6.74 inch) HD Display
108MP + 2MP | 8MP Front Camera
5000 mAh Battery
T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
10,"realme C55 (Rainforest, 128 GB)","₹13,999",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
11,"realme C55 (Rainy Night, 128 GB)","₹13,999",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
12,"realme C55 (Rainforest, 64 GB)","₹11,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
13,"realme C55 (Sunshower, 64 GB)","₹10,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
14,"realme C55 (Rainforest, 64 GB)","₹10,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
15,"realme C55 (Rainy Night, 64 GB)","₹10,999",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
16,"realme C55 (Sunshower, 128 GB)","₹13,999",4.4,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
17,"realme C55 (Sunshower, 64 GB)","₹11,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
18,"realme C55 (Rainy Night, 64 GB)","₹11,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
64MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G88 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
19,"realme C30 (Denim Black, 32 GB)","₹5,999",4.2,"2 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Lithium Ion Battery
Unisoc T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
20,"realme C30 (Denim Black, 32 GB)","₹6,499",4.1,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Lithium Ion Battery
Unisoc T612 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
